Album,Song,Total Weighted Score,Enjoyability,Emotional Impact,Messaging,Lyricism,Nostalgia / Longetivity,Overall Sound,Total RAW Score,Enjoy,Emotion,Message,Lyricism,Nostalgia,Overall Sound,Single Released,On Original Album,Deluxe or TV Album,Track,First Release,Re- Release,Favorite Lyric,Notes/Alternate Versions
,,,,,,,,,,22%,15%,5%,31%,12%,15%,,,,,,,,
folklore,illicit affairs,10.00,10,10,10,10,10,10,60,2.20,1.50,0.50,3.10,1.20,1.50,FALSE,TRUE,FALSE,8.10,2020,,"""You taught me a secret language I can't speak with anyone else""",long pond studio sessions
evermore,"no body, no crime (ft. HAIM)",10.00,10,10,10,10,10,10,60,2.20,1.50,0.50,3.10,1.20,1.50,TRUE,TRUE,FALSE,9.06,2020,,"""Good thing my daddy made me get a boating license when I was fifteen
And I've cleaned enough houses to know how to cover up a scene""",
folklore,cardigan,9.80,10,10,9,10,10,9,58,2.20,1.50,0.45,3.10,1.20,1.35,TRUE,TRUE,FALSE,8.02,2020,,"""You drew stars around my scars""",long pond studio sessions; cabin in candlelight version
folklore,my tears ricochet,9.54,10,10,10,9,10,9,58,2.20,1.50,0.50,2.79,1.20,1.35,FALSE,TRUE,FALSE,8.05,2020,,"""And if I'm dead to you, why are you at the wake?""",long pond studio sessions
evermore,willow,9.52,10,10,9,9,9,10,57,2.20,1.50,0.45,2.79,1.08,1.50,TRUE,TRUE,FALSE,9.01,2020,,"""Every bait and switch was a work of art""",dancing witch version (Elvira remix); lonely witch version; moonlit witch version; 90's trend remix
The Tortured Poets Department: The Anthology,How Did It End?,9.49,9,10,9,10,8,10,56,1.98,1.50,0.45,3.10,0.96,1.50,FALSE,FALSE,TRUE,11.21,2024,,"""Say it once again with feeling
How the death rattle breathing
Silenced as the soul was leaving""",
folklore,this is me trying,9.47,9,10,10,9,10,10,58,1.98,1.50,0.50,2.79,1.20,1.50,FALSE,TRUE,FALSE,8.09,2020,,"""I was so ahead of the curve, the curve became a sphere
Fell behind all my classmates, and I ended up here""",long pond studio sessions
Red TV,Nothing New (ft. Phoebe Bridgers) TV FTV,9.42,10,10,10,9,9,9,57,2.20,1.50,0.50,2.79,1.08,1.35,FALSE,FALSE,TRUE,4.22,2021,,"""How can a person know everything at 18 but nothing at 22?
Will you still want me when I'm nothing new?""",
The Tortured Poets Department,I Can Fix Him (No Really I Can),9.41,10,9,9,10,8,9,55,2.20,1.35,0.45,3.10,0.96,1.35,FALSE,TRUE,FALSE,11.11,2024,,"""His hand so calloused from his pistol
Softly traces hearts on my face""",
The Tortured Poets Department: The Anthology,The Prophecy,9.35,9,10,10,9,9,10,57,1.98,1.50,0.50,2.79,1.08,1.50,FALSE,FALSE,TRUE,11.26,2024,,"""But even statues crumble if they're made to wait""",
evermore,ivy,9.33,10,10,9,8,10,10,57,2.20,1.50,0.45,2.48,1.20,1.50,FALSE,TRUE,FALSE,9.10,2020,,"""My pain fits in the palm of your freezing hand""",
folklore,exile (ft. Bon Iver),9.15,10,10,10,9,8,8,55,2.20,1.50,0.50,2.79,0.96,1.20,TRUE,TRUE,FALSE,8.04,2020,,"""You're not my homeland anymore
So what am I defending now?""",long pond studio sessions
Midnights,Maroon ,9.14,9,9,8,10,8,9,53,1.98,1.35,0.40,3.10,0.96,1.35,FALSE,FALSE,FALSE,10.02,2022,,"""The mark you saw on my collarbone, the rust that grew between telephones""",
evermore,long story short,9.14,10,9,9,10,7,8,53,2.20,1.35,0.45,3.10,0.84,1.20,FALSE,TRUE,FALSE,9.12,2020,,"""Pushed from the precipice
Climbed right back up the cliff
Long story short, I survived""",
The Tortured Poets Department,The Smallest Man Who Ever Lived,9.12,9,10,10,10,7,8,54,1.98,1.50,0.50,3.10,0.84,1.20,FALSE,TRUE,FALSE,11.14,2024,,"""Were you sent by someone who wanted me dead?
Did you sleep with a gun underneath our bed?""",
evermore,champagne problems,9.00,9,10,9,9,9,8,54,1.98,1.50,0.45,2.79,1.08,1.20,FALSE,TRUE,FALSE,9.02,2020,,"""'She would've made such a lovely bride
What a shame she's fucked in the head,' they said""",
The Tortured Poets Department,Clara Bow,8.99,8,7,10,10,9,10,54,1.76,1.05,0.50,3.10,1.08,1.50,FALSE,TRUE,FALSE,11.16,2024,,"""It's hell on earth to be heavenly""",
Speak Now TV,Castles Crumbling (ft. Hayley Williams) TV FTV,8.92,9,9,9,10,7,8,52,1.98,1.35,0.45,3.10,0.84,1.20,FALSE,FALSE,TRUE,3.21,2023,,"""Smoke billows from my ships in the harbor
People look at me like I'm a monster""",
The Tortured Poets Department,Guilty as Sin?,8.86,8,10,7,9,8,10,52,1.76,1.50,0.35,2.79,0.96,1.50,FALSE,TRUE,FALSE,11.09,2024,,"""Without ever touching his skin
How can I be guilty as sin?""",
The Tortured Poets Department: The Anthology,The Black Dog,8.57,9,7,8,10,7,8,49,1.98,1.05,0.40,3.10,0.84,1.20,FALSE,FALSE,TRUE,11.17,2024,,"""Six weeks of breathing clean air
I still miss the smoke""",
folklore,invisible string,8.54,10,7,10,8,8,9,52,2.20,1.05,0.50,2.48,0.96,1.35,FALSE,TRUE,FALSE,8.11,2020,,"""Chains around my demons, wool to brave the seasons
One single thread of gold tied me to you""",long pond studio sessions
